Ulasan,Label
pesen sesutu konfirmasi samagimana aplimasimohon tingkatkan respons nyasoalnya berhubungan dg kesehatan dg sikgap cepat knp berhubungan dg nyawa kesehatan,Execution Efficiency
good choice for urban people,Operability
aplikasi sangatt membantuterimakash halodok,Operability
bagus perbarui aplikasi bermutu membantu,Operability
hbs akun diaccept tp gak tanggapan lgtlong bantuannya,Operability
membantu sekalikalau saran tambahkan dokter spesialis kulit ya so far so good,Operability
membantu trima ksih halodoc,Operability
blm prnh psang aplikasi inibru updatesemoga bermanfaat,Operability
semoga sukses doktorsangat membantu,Operability
membantu responnya cepat,Execution Efficiency
amazing verygood,Operability
aplikasi pelayanan cepat,Execution Efficiency
good,Operability
membantu murah,Operability
baguss sekaliiii,Operability
inovasi terbaik,Operability
memuaskan dokter pelayannanya sngat membantu,Operability
membantu,Operability
membantu tq,Operability
aplikasi gomed bagus lengkap diganti halodoc ribet lemot gak lengkap aplikasi gomed hidupkan,Completeness
good,Operability
bagus banget,Operability
bermanfaat yg membutuhkan yg sibuk,Operability
msih lengkap obat generik nya banyakan obat paten,Completeness
maaf sy uninstall lg alamat jangkauan dimana sy rubah lokasinya jakarta ndak jangkauan cepat diperbaiki sy yg pakai aplikasi nya krna sdah kerja dg gojek,Execution Efficiency
good,Operability
good,Operability
mantap,Operability
bikin iklan aja tampil layar capek tau nge war aja kegangu iklan gak,Simplicity
mantap menit udah dapet,Operability
chat dgn dr agra cp aplikasi halodoc diagnosa nya saran medis nya ayo halodoc promo code nya,Simplicity
ane sakit gigi panggil yg laki gua doc gua sakit gigi laluh disuruh ambil sendok cabut hebat hebat,Operability
bagus banget citaku dokter,Operability
good membantu slm sehat,Operability
sangeat menbantu,Operability
bagus dipertebal cetakan hurufnya,Operability
mantap bnget dok,Operability
pendapat bagus orang menyukainya,Operability
membantu,Operability
keren,Operability
mudahan bermanfaat membantu orang,Simplicity
good,Operability
lum pake tpi mbantu ea,Operability
bagus membantu,Operability
bagus,Operability
bagus body messige,Operability
aplikasi bagusdan bermanfaat sekalitrima kasih,Operability
ngga pusing nich malammalam anak sakit order via apotik cpt banget respon nya obat cepat,Execution Efficiency
respon dokter cepat banget nich membantu thx halodoc,Execution Efficiency
dokternya responnya cepat membantu,Execution Efficiency
membantu rumah kantor,Operability
membantu lgsg pesan obat via apotik,Operability
ngapain gabung sih enak go med cepet praktis ga aplikasimending ga pakai,Execution Efficiency
cepat percaya terkendali,Execution Efficiency
puas,Operability
mantap,Operability
gampang banget nyari obat cepat delivery nya,Simplicity
klo lengkapkan,Completeness
mantap,Operability
bagus sig,Operability
berguna membatu semoga dimasa,Operability
coba mudahan membantu,Simplicity
yuk pakai kode acepg dapatkan diskon langsung rb pembelian min rb halodoc pembelian obat vitamin mu semoga bermanfaat terima kasih,Operability
aplikasi yg membantu order barang langsung dikirim,Operability
membantu,Operability
good,Operability
good,Operability
bagus membantu,Operability
ilmu yg bermanfaat memperpanjang usia dg hidup sehat,Operability
keren banget,Operability
apl membantu sya,Operability
pengiriman cepat free ongkir membantu,Execution Efficiency
bagus bgt konsultasimhon tingkatkn trus,Operability
bagus x,Operability
the best,Operability
so bad area gk trrjangkauu sih pesan online shop fine fine aja tinggal strategis ggk terjangkau sih sebel banget nih aplikasi keren go medicine yg,Operability
pasang nyoba pesen obat ga sampe menit udh nyampe tu obat memuaskan,Operability
good,Operability
membantu sy mendengarnya terimakasih,Operability
keren,Operability
berguna,Operability
bagus,Operability
pengiriman cepat free ongkir,Execution Efficiency
sy mendownload aplikasi sprtinya bagus,Operability
semoga dgn konsultasi kesehatan bermanfaat bg pembaca,Operability
mantaplikasip,Operability
bermanfaat,Operability
good,Operability
bagus sngat membantu,Operability
manfaatnya mksh,Operability
good,Operability
aplikasi membantu not recommended,Simplicity
bantusn dalah pencet gt washp hilang,Operability
membantu,Operability
membantu,Operability
good,Operability
bermanfaat orang,Operability
good is very good thanks ya,Operability
bermanfaat aplikasinya thanks,Operability
membantu,Operability
keren tau kenalan suster,Operability
kereeenn cepat lumayan promo nya,Execution Efficiency
mdhan bs bermanfaat,Operability
verry helpfull,Operability
darurat butuh obat gak rumah halodoc membantu terima kasih,Operability
ya hidup dunia belajar belajar mantap,Operability
it was so bad aplikasi kalo gak bs reach apotik jam terdekat a lot of ppl outthere butuh aplikasi darurat salah contoh nya malamdini kaya gini tp ngga bs,Operability
membantu good pokoknya,Operability
aplikasi nya simple oke orderan jg cepet dipick gojek trs cepet jg diantar krn apotiknya dket rumah plus kode pot vocer jd bs hemat kantong deh,Simplicity
terimakasih nya aplikasi konsul dokter dimana gratis aplikasi sangatsangat membantu karna sakit,Operability
install klu bagus ditambahi nya,Operability
bagus q,Operability
donlot jd nnt dikasih bintang kalu bagus,Operability
bagus memudahkan mencari obat yg dibutuhkan gratis ongkir menyusahkan cek pesanan masukin alamat halaman menu pesanan memudahkan mengecek pesanan,Simplicity
kayaknya aplikasinya bagus,Operability
coba duluklo bagus q,Operability
gak pesen obat banget gak,Simplicity
mudah,Simplicity
aplikasi ga bgt rugi kuota,Simplicity
aplikasi gak nyesel gw download kayak gak niat nya balikin kuota gw n gw terbuang sia klo pilihan rating bintang gw kasih bintang,Simplicity
kalo bagus tsr tambahin lgi,Operability
membantu terima kasih,Operability
very good,Operability
coba liat hasil nya bagus ngak,Operability
mencoba aplikasi berkat rekomendasi temanteman order mengalami buruk ditelpon driver gojek bergilir bingung silih berganti menelpon bicara telepon salah bilang sistemnya error searching driver masuk hape driver bergantian menyarankan mengcancel pesanan pesanan kosong apotek sayangnya menu cancel berfungsi jam pesanan terkontangkantung mampir driver driver menghubungi halodoc customer support dicancel pusat nyaman ditelpon driver menerus berhasil pikir pengalaman buruk pemakaian aplikasi situ terulang mengorder barang driver membawa barang menagih kali lipat tagihan tertera aplikasi menghubungi halodoc cs penjelasan driver membeli apotek kode voucher berfungsi cs menawarkan mengganti voucher menolak solusi istimewanya voucher bukti permohonan maaf halodoc voucher rb minimal pembelian rb voucher yg dipakai customer minimal order pertimbangkan cs berjanji menghubungi x jam chat area menunggu kerja jumat tandanya dihubungi selasa rabu sungguh lambat tanggapan halodoc aplikasi beli obat darurat lambat direspon butuh kejelasan barang statusnya dikembalikan diapakan membelinya darurat dipakai menunggu statusnya bohong cepat akurat dikerjai halodoc driver salah membeli kena imbas salah aplikasiny info nama nomor hape gojek dihubungi driver mengontak konfirmasi tibatiba muncul rumah membawa pesanan salah kali pengalaman buruk pemakaian berpikir aplikasi sistemnya paripurna amburadul mengunduh mohon pertimbangkan seksama,Simplicity
mantap,Operability
good aplikasinya,Operability
lumayan bagus d g yg d tolong aplikasi membantu bgt,Operability
mantap diare ga beli obat gratis ongkir cepat terbaik,Execution Efficiency
good,Operability
good,Operability
mantaplikasip,Operability
membantu,Operability
aplikasi bagus usefull konsul gratis dgn dokter bermanfaat sakit tinggal beli obat rumah terimakasih halodoc,Operability
kalo b bagus udtak,Operability
uninstall aja kalo ga feed back aplikasi tu biar jd mudah ga kyk gini konsul sm dokter read trs ga dibls tp end chat,Simplicity
mebaca ulasan bagus klu bgus lg sy tambaih bintang pull untk segini dlu bnyk yg ssy tanyain,Operability
bagus,Operability
membantu,Operability
bermanfaat,Operability
smoga mmbantu,Operability
bagus ya,Operability
good,Operability
very good,Operability
bagus,Operability
semoga hasilnya bermanfaat,Operability
puas bngt dngn apliksi ni,Operability
membantu sakit obat langsung diantar kerumahthx,Operability
keren,Operability
lumayan membantu,Operability
mudahmaju indonesia,Simplicity
bagus pesenan obat tujuan membantu,Operability
dicoba klo bagus tambahin lg deh,Operability
semoga membantu,Operability
bagus,Operability
bagus,Operability
membantu terimakasi,Operability
mencoba aplikasi mudahan membantu penggunaan hp nyaman aman,Simplicity
mantap tingkatkan,Operability
good,Operability
coba kl bagus bintangnya,Operability
tolong d bantu pdocter org susah yg lgi susahfakir miskin trim pdocter,Operability
bagus jd pede kembaran orang negeri hee heee,Operability
pembersih cepat da otomatis,Execution Efficiency
membantu,Operability
aplikasi memudahkan pengguna kesehatan kedepannya mohon nomor telfon darurat rumah sakit terdekat penjemputan ambulance real time gratis terimakasih halodoc,Simplicity
berguna bgt,Operability
mantap,Operability
semoga bermanfaat menolong orang,Operability
semoga bermanfaatbr coba,Operability
bagus,Operability
membantu cegah,Operability
good,Operability
bagus,Operability
bagus,Operability
membantu,Operability
aplikasi yg membantu utk kesehatankereeennn,Operability
sampe bener bagus citraraya segini strategis nya ga konfirmasi map payah,Operability
bagus kasih bintang limo,Operability
mantap dikembangkan,Operability
bguss berguna,Operability
mrmbantu,Operability
bagus,Operability
nyoba percaya bagus semoga membantu,Operability
berguna sekaligak muter apotik klo apotiknya obatnya kosongserasa pny dokter pribaditinggal duduk manis dirumah ngemil kacang sukses halodocditunggu terobosan,Operability
bermanfaat,Operability
kode promo gimana min mohon bantuannya,Operability
cari obat metronidazole atw flagyl gaada ya gk lengkap nih,Completeness
bagus,Operability
good,Operability
memuaskan,Operability
mantap,Operability
benarhebat,Operability
membantu pelayanan apotek antarnya semoga kedepan nya,Operability
barusan siang beli gold diplaystore pake pulsa tp pulsa udah hilang goldnya ga dapet nama gamenya narcos cartel wars mohon kembalikan pulsa seandainya pembelian gagal playstore keterangan dibatalkan gimana mohon dibantu,Operability
ni sanggat membantu,Operability
aduh bagus suka suka,Operability
bagus,Operability
aplikasi bagus tp skrg g bs d buka d hpku abis d update login pakek nomor yg udah kedaftar yg g melebihi dlm penggunaan nomor haduuhh klo yaa g bs d andalkan,Operability
mantap,Operability
good,Operability
semoga ilmu bermanfaat,Operability
coba smoga brmanfaat untukku,Operability
bagus pembelian obad cepat singkat,Execution Efficiency
lumayan membantu,Operability
bagus,Operability
good,Operability
all thing is good,Operability
bagus,Operability
hebat banget,Operability
mantap jiwa,Operability
bagus,Operability
dokternya ramah trus pesan obatnya nyampe belanja keatas dpt potongan rb klo pake kode promo kalo obatnya lengkap ya makasih,Completeness
mantap tinggal bilang diantar,Operability
membantu,Operability
mantap,Operability
mudahan membantu mempermudah,Simplicity
keren,Operability
y nti klw bagus,Operability
membantu,Operability
membantu,Operability
mantap,Operability
membantu mendptkan yg perlukan kesehatan utama,Operability
aplikasi loading ga tau sakit,Error Tolerance
bagus,Operability
mg canggih dgn perkembanhan zaman,Execution Efficiency
mantap,Operability
puas nambah,Operability
mudamudahan aplikasi bsa dipake,Simplicity
klik beli barang smua habis pas barangnya dicancel otomatis kasihan gojek telepon karna gojeknya terbaca tercancel aplikasi gakjelas,Simplicity
amannyamanmudah,Simplicity
membantu bnget,Operability
bagus,Operability
jelek ribet fhoto prodak ga ga da informasia pokoka jelek,Simplicity
aplikasi abalsetiap order terbatalkan udah bosen order kasihan jg drivernya bikin aplikasi yg bagus jgn stengah,Operability
karna info bermanfaat,Operability
good,Operability
good,Operability
bagus,Operability
kolom ulasan kalo suruh koemntar kolom chat us aplikasi nya gk membantu,Operability
bagusss bangettttttty,Operability
bergunasukses maju,Operability
ya ampundrivernya ganti muluudh dapetganti lgdapet ganti lgga jelasnunggu driver aja jamsekalinya dapet drivernya ga angkat telphadeeehhh keburu yg sakit pingsan deh kl gini batalin ajalahlama bageettt,Simplicity
aq coba dlu aplikasi nyaklo emg bagus kasi bintang bnyak,Operability
bermanfaat membantu kondisi kesehatan,Operability
kali pesan obat cepat murah voucher diskon,Execution Efficiency
mhon lbih dipermudah downlod syukton katsir,Simplicity
blmz coba kayanya bagus,Operability
hebat,Operability
malam cari obat dialami kadang cari apotik aplikasis halodoc membantu pesen obat rada jarang ditemui apotik deket rumah nemu apotik tempatnya rumah efisien membantu tingkatin pelayanannya ya,Execution Efficiency
dokter gk yg gk,Simplicity
mu mencoba klo bagus nti bru ksih full bintangy smeoga bsa membatu,Operability
sanggat bagus canggih,Execution Efficiency
kasi tar kaloao bagus,Operability
terimakasih memudahkan utk membeli obat lbh tenang resep dokter,Simplicity
bagus,Operability
bagus ga sih,Operability
bagus lokasi pengiriman obat perluas,Operability
moga bermanfaat,Operability
bagus,Operability
membantu,Operability
bagus engga ha,Operability
mdhn bermanfaat umtk keluarga,Operability
keren laj,Operability
terbantu traveling mendadak butuh obat,Operability
aplikasi bagus hp taro jalan injek injek sampar hancur,Operability
good,Operability
bagus,Operability
ribet kebanyakan aplikasi udah bagus aplikasi aja suruh download aplikasi,Operability
membantu sekalikita tinggal duduk manis aja deh rmh,Operability
membantu,Operability
membantu,Operability
membantu hian,Operability
membantu,Operability
membantu banget disaat genting butuh obatapalagi pas hujan ngga kendaraan,Operability
masya allah membantu terima kasih dr deasy yg kirimkan obat utkku pagi tlp keadaantrmkshjazakillahu khaer,Operability
penjelasannya perjelas cepat pahami,Simplicity
simply user friendly mudah,Simplicity
terima kaih halodoc membantu malas rumah,Operability
coba ya liat komentar yg udah makai kog keliatannya bermanfaat,Operability
memuaskan,Operability
mantap banget aplikasi gak nyesel deh download aplikasi lihat obat butuhkan,Operability
baguss,Operability
coba kasih bintang kalo aplikasi nya bagus ksh bintang,Operability
check up lab prodia dgn mudah download halodoc recommended,Simplicity
apk bagus,Operability
makasi bantuannya,Operability
membantuharga obat murah,Operability
gojek kereen buatan indonesia loh makasih gojek memudahkan hidup orang,Simplicity
bagus,Operability
membantu,Operability
the best,Operability
bagus,Operability
pelayanan nya dokternya ramah suka drg haryanto ag spprosterimakasih semoga bagus bermanfaat,Operability
membantu bangetttttttt jdi ga ribet apotik murah gak pake ingkir udah kalinya beli dsni cpt smpe makasih aplikasi tingkatkan kualitas nya kalo bintang gue kasih bintang aplikasi,Operability
good aplikasi,Operability
bagus,Operability
membantuapalagi promo nya suksea tes halodocsering aja promo nya,Operability
bermanfaat,Operability
aplikasi membantu saran hallo doc expansi daerah besok pelanggan jgn sampe kualitas pelayanan berkurang ya sukses hallo doc,Operability
membantu tp harga mahal ya,Operability
bermanfaatsemoga kedepannya,Operability
kali pakai aplikasi mudahan obatnya asli yaaa karna harganya murah,Simplicity
saran cepat mencari aplikasi,Execution Efficiency
terima kasih bantuan nya,Operability
semoga bermanfaat,Operability
z suka aplikasi yg membantu saranbagaimana pembuatan aplikasi initerimakasih,Operability
bagus bintang nya,Operability
memudahkan cari obat herbal,Simplicity
mantap jiwa,Operability
membantu berasa dokter pribadi antri thanks halodoc sukses tingkatkan pelatanannya,Operability
dikasi aja kecewa tp untung diperbaiki chat langsung bantuan good job,Operability
bagus,Operability
bagus,Operability
membantu mahmud yg nggak sllu kluar rumah beli obat karna nggak neni,Operability
semoga menunjang kesehatan membantu memudahkan pasien,Simplicity
gak,Simplicity
membantu banget org sakit yg ga beli obat thanks berat aplikasinya dapet pahala heheheh,Operability
mebantu kebutuhan obat,Operability
membantu,Operability
bagus,Operability
mantapinovasi yg bermanfaat,Operability
good,Operability
sangattt membantuu aplgii pas sibuk nya gak bsa berobat gak smpet konsultasii aplikasi membantu,Operability
membantu kebutuhan,Operability
mantap,Operability
teman ku kiriman suplemen vitamin gratismantap,Operability
integrated gojek driver pilihan obat lengkap membantu,Completeness
respon cepat,Execution Efficiency
bagus dokternya baca chat tp balas dokter coba lakukan konsultasi responnya,Operability
aplikasi bagus sya msih krang puas dgan beberpa dokter krna tdk penjelasan yg lbih responnya lambat sya krang tau mmang krna sibuk atw mmang gk membantutrims,Simplicity
pelayanan memuaskan,Operability
good,Operability
bagus,Operability
suka bikin simple beli obat chat konsul dokter semoga bermanfaat sukses,Simplicity
membantu voucher potongan harga berfungsi membayar normal harga yg tertera harga promo penggunaan kode voucher chat dgn customer service slow respons isinya robot bs seadanya ditelpon jg gak diangkat ngabisin pulsa kuota download aplikasi,Operability
good,Operability
alhamdulillah membantu banget guys yg males rumah emang gabisa apotik dokter,Operability
memudahkan,Simplicity
ga having problems cepat estimasi,Execution Efficiency
hoa sgt puas dg pelayanannya chat dg dr putra rizki fast respon bgt fitur sgt membantu im statisfied with my health care,Execution Efficiency
membantubeli obat apotek mudahgratis ongkir pulaa thanks halodoc,Simplicity
good job,Operability
bagus gk tersedia obat yg d rb,Operability
membantu,Operability
gak bagus,Operability
good,Operability
dokter nya pda gak jelasorang nanya d chat gk d balesd tlpon gak angkat gua download ni aplikasi gak bermanfaat,Simplicity
membantu konsultasi,Operability
dokternya cepat tanggap resep obat terimakasih halodoc membantu,Execution Efficiency
aplikasi membantu dokter nya bnyak bsa tnya langsung balesjd langsung tau yg dialamin kasi bintang aplikasi bagus banget,Operability
membantu disaat,Operability
terbantu aplikasi karna asisten apoteker wajib tau nama obat obat asing yg tau namanya,Operability
mantap,Operability
membantu terima kasih halodoc,Operability
semoga bermanfaat,Operability
bagus kaleeessss,Operability
membantu aplikasi halodok,Operability
bagus banget,Operability
aplikasilikasi bagus membantu sayangnya kurirnya ga faham jalan,Operability
is the best aplikasi yg membantu,Operability
bagus tau halodok kantong plastik bungkus obat tes aplikasinya mudahthanks halodok,Simplicity
membantuharganya dgn harga apotik free delivery promo,Operability
good membangu yg terserang vertigo mndadak,Operability
membantu,Operability
bermanfaat promonya thanks halodoc,Operability
bagus,Operability
sangt membantu,Operability
aplikasi keren dokternya ramah kondisi pasiennya,Operability
membantu,Operability
terimakasih halodoc membantu sipp,Operability
bagus,Operability
membantu praktis flexible,Execution Efficiency
tingkatkan puas tpii kadang brang kosong btw tq halodoc,Operability
halodoc mudahan aplikasinya bagus meninggikan badan doc,Simplicity
semoga aplikasi bermanfaat keluarga,Operability
wow pendapat sih bagus,Operability
knp lengkapi profile ya to long bantu,Completeness
membantu syjdi ga rsu klw sakitnya sja jdi tgl konsultasi aj ma dokter,Operability
aplikasi membantu jka kta dokteratau rumah sakit,Operability
bagussangat membantudan ku sukai,Operability
smga membantu smua org tuk konsultasi y,Operability
mudah obatnya lengkap,Completeness
klw bagus q bintang nya,Operability
membantu,Operability
nice program and good luck thank you,Operability
klaw membantu z bintang fool,Operability
bagus,Operability
stiap memesan obat aplikasi sllu cepat tdak salah love you hallodoc,Execution Efficiency
good,Operability
membantu bangett,Operability
mantap,Operability
mantap,Operability
aplks semoga bmanfaat,Operability
terbantutapi ngisi saldo nya go pay ya,Operability
semoga bermanfaat layanan aplikasi,Operability
bangus membantu banget,Operability
membantu,Operability
bagus pelayananya,Operability
membantu,Operability
bagus,Operability
terima kasih dokter aplikasi nya bermanfaat,Operability
semoga membantu orang aamiin,Operability
good,Operability
canggih sajasuka bgt sm aplikasi inisgt membantu,Execution Efficiency
mantap,Operability
membantutp dokter saraf ko ya,Operability
aplikasi bagus sgt membantu,Operability
dok sy single parent usia thn mengalami sakit kepala yg hebat blm tau penyebab nya penyakit faktor pikirankecapean istirahat ato tdk seimbang pola makantdr yg teraturseimbang ato faktor mohon saran obt nya trima kasih,Operability
semoga aplikasi membantu info kesehatan driver keluarga ny amin,Operability
menambah wawasan seputar dunia kesehatan mudah konsultasi dokter praktis memesan obat thanks a lot the best,Simplicity
mudah mudahan aplikasi membantu,Simplicity
bagus ya membaca artikelnya gak muncul yaa min,Operability
sy berharap layananya bagus kedepanya biar praktis gampang yg tulis aplkasi sy nyoba,Simplicity
bermanfaat,Operability
daerah ungaran belom tersedia mohon percepat lokasi ungaran aplikasi halodoc,Execution Efficiency
membantu,Operability
bagus banget membantu ngerasa deket banget dokter konsultasi,Operability
sumbertaman kota probolinggo jawa timur tersedia mohon sediakan dipercepat,Execution Efficiency
